"qtr","dist_bucket","n_plays","pass_rate"
1,"1_10",35058,0.4426
2,"1_10",39967,0.5445
3,"1_10",35386,0.4404
4,"1_10",38412,0.5333
5,"1_10",1029,0.4548
1,"1_long",1297,0.5991
2,"1_long",1845,0.6883
3,"1_long",1609,0.6619
4,"1_long",1562,0.7049
5,"1_long",35,0.7429
1,"1_short",2158,0.2943
2,"1_short",3117,0.3837
3,"1_short",2181,0.3141
4,"1_short",2969,0.3954
5,"1_short",51,0.3529
1,"2_long",17345,0.6293
2,"2_long",20755,0.7153
3,"2_long",17574,0.6877
4,"2_long",20611,0.6811
5,"2_long",527,0.7306
1,"2_med",6927,0.4959
2,"2_med",7584,0.557
3,"2_med",6742,0.4874
4,"2_med",7398,0.5219
5,"2_med",190,0.5579
1,"2_short",4437,0.3034
2,"2_short",5661,0.4089
3,"2_short",4384,0.2812
4,"2_short",5302,0.434
5,"2_short",124,0.3145
1,"3_long",7887,0.9076
2,"3_long",10098,0.8818
3,"3_long",8215,0.9042
4,"3_long",10278,0.829
5,"3_long",231,0.9004
1,"3_med",4585,0.8899
2,"3_med",5115,0.8935
3,"3_med",4142,0.8923
4,"3_med",5169,0.8087
5,"3_med",131,0.7939
1,"3_short",5012,0.519
2,"3_short",5998,0.5257
3,"3_short",4879,0.5218
4,"3_short",5769,0.4935
5,"3_short",154,0.539
1,"4_long",43,0.7442
2,"4_long",113,0.8673
3,"4_long",103,0.7767
4,"4_long",1271,0.9339
5,"4_long",13,0.9231
1,"4_med",114,0.8509
2,"4_med",198,0.8838
3,"4_med",194,0.9227
4,"4_med",825,0.9042
5,"4_med",8,1
1,"4_short",830,0.3759
2,"4_short",1191,0.4341
3,"4_short",952,0.4307
4,"4_short",1674,0.552
5,"4_short",32,0.375
