season,team,off_plays,def_plays_faced
2025,DAL,64.88235294117646,60.411764705882355
2025,CHI,64.47058823529412,60.11764705882353
2025,LAC,63.529411764705884,56.1764705882353
2025,NYG,63.470588235294116,60.705882352941174
2025,DEN,63.470588235294116,62.05882352941177
2025,HOU,63.411764705882355,57.76470588235294
2025,ARI,63.1764705882353,61.94117647058823
2025,JAX,63.11764705882353,60.588235294117645
2025,TB,62.64705882352941,58.23529411764706
2025,BUF,62.64705882352941,55.88235294117647
2025,SF,62.64705882352941,59.94117647058823
2025,NO,62.588235294117645,60.529411764705884
2025,LA,62.11764705882353,62.8235294117647
2025,DET,61.76470588235294,61.1764705882353
2025,CIN,61.705882352941174,60.88235294117647
2025,KC,61.64705882352941,57.470588235294116
2025,ATL,60.94117647058823,61.588235294117645
2025,CLE,60.470588235294116,58.470588235294116
2025,NE,59.76470588235294,56.8235294117647
2025,IND,59.470588235294116,64.76470588235294
2025,NYJ,59.35294117647059,61.94117647058823
2025,SEA,58.64705882352941,62.470588235294116
2025,CAR,58.588235294117645,58.705882352941174
2025,PHI,58.529411764705884,62.705882352941174
2025,TEN,58.529411764705884,58.294117647058826
2025,GB,58.411764705882355,62.11764705882353
2025,WAS,57.529411764705884,63.05882352941177
2025,PIT,57.411764705882355,64.94117647058823
2025,BAL,56.23529411764706,63.294117647058826
2025,MIN,55.470588235294116,59.8235294117647
2025,MIA,55.411764705882355,59.76470588235294
2025,LV,55.411764705882355,62.0
