Team,Slot,Avg_DK_in_Win,Avg_DK_in_Loss,Win_Diff
BUF,DST,6.61,1.0,5.61
BUF,QB,22.27,16.28,5.99
BUF,QB2,0.27,0.1,0.17
BUF,RB1,15.11,9.37,5.74
BUF,RB2,6.23,4.92,1.31
BUF,RB3,4.47,4.08,0.38
BUF,RB4,0.21,0.09,0.12
BUF,TE1,8.14,7.51,0.62
BUF,TE2,4.58,3.74,0.83
BUF,TE3,0.45,0.91,-0.46
BUF,TE4,0.05,0.09,-0.04
BUF,WR1,13.91,13.01,0.9
BUF,WR2,6.85,6.99,-0.14
BUF,WR3,6.85,5.03,1.82
BUF,WR4,5.81,4.59,1.22
BUF,WR5,4.71,3.51,1.2
BUF,WR6,1.73,0.96,0.77
BUF,WR7,0.07,0.11,-0.04
KC,DST,5.61,1.97,3.64
KC,QB,26.57,15.32,11.25
KC,QB2,0.12,0.02,0.1
KC,RB1,10.46,7.52,2.94
KC,RB2,10.54,6.33,4.21
KC,RB3,2.31,1.79,0.52
KC,RB4,0.01,0.01,-0.0
KC,RB6,0.01,0.0,0.01
KC,TE1,18.58,13.78,4.8
KC,TE2,6.34,4.21,2.13
KC,TE3,0.34,0.22,0.12
KC,TE4,0.73,0.35,0.38
KC,TE5,0.03,0.12,-0.09
KC,TE6,0.02,0.0,0.02
KC,WR1,14.66,11.3,3.36
KC,WR10,0.44,0.43,0.01
KC,WR11,0.0,0.12,-0.12
KC,WR12,0.0,0.04,-0.04
KC,WR13,0.18,0.15,0.03
KC,WR2,7.74,5.9,1.84
KC,WR3,3.75,3.57,0.18
KC,WR4,3.41,2.76,0.65
KC,WR5,2.84,2.5,0.34
KC,WR6,3.94,2.81,1.13
KC,WR7,3.5,1.38,2.12
KC,WR8,1.4,1.08,0.32
KC,WR9,0.74,0.33,0.41
